"ML_Large","ML_Medium","ML_Small","ML_V.Small","PLD_Long","PLD_Medium","PLD_Short","PLD_V.Long","T_Corrallivore","T_Detritivore","T_Herbivore","T_Omnivore","T_Piscivore","T_Planktivore","T_Predator","P_Benthic","P_AnthozoanA","P_Demersal","P_Pelagic","P_ReefPelagic","P_SandA","P_SubBenthic","P_UpperBenthic","R_Brooders","R_Demersal","R_livebearers","R_Nesters","R_Scatterers"
NA,0.409019013435805,0.0842684784447354,0.448581607924849,NA,0.292082779208593,0.273603533589664,0.0917544372670549,0.498357250621118,0.16820869460884,0.595772553798854,0.866270014955369,1.10134124042816e-13,0.507465749666313,0.598102507266288,0.213328048929057,0.270726542564312,NA,4.31210622764411e-13,NA,NA,0.6724700767472,0.275807679660368,NA,NA,NA,0.639672731687085,0.611960102159823
0.409019013435805,NA,1.18026239821489e-05,0.94477137075196,NA,0.00131669803705359,0.00137139205700354,0.842961710399352,0.267514148473661,0.0454960655634709,0.0102073096329529,0.798884430369589,0.339113388893215,0.670994268125801,0.74706029444508,0.0580254382728831,0.193866375289288,NA,0.322498589424529,NA,NA,0.97984705796836,0.00947578923533543,NA,NA,NA,0.994581490948871,0.973372225518865
0.0842684784447354,1.18026239821489e-05,NA,0.997929441649003,NA,0.0531248601231802,0.0577769032399065,0.405514637021388,0.13645990976979,0.0080146411518256,0.0342777297911039,0.788463610044837,0.117332912428056,0.883079168046039,0.859718485659121,0.0140549286350955,0.0816232130403913,NA,0.122757947621287,NA,NA,0.699660991788428,0.13853091075082,NA,NA,NA,0.71944706914952,0.728487432582495
0.448581607924849,0.94477137075196,0.997929441649003,NA,NA,0.210937958384061,0.209034926339595,0.771097247601499,0.868934019250763,0.164597544809769,0.352221011154978,0.564801427280265,0.612362833139561,0.224057350813552,0.178874493409569,0.192850122187677,0.164713609307978,NA,0.722754886629033,NA,NA,0.377881024517414,0.287295900174776,NA,NA,NA,0.491939303927378,0.547257427444847
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.292082779208593,0.00131669803705359,0.0531248601231802,0.210937958384061,NA,NA,0,0.50514274276196,0.0968514183290121,0.00128052958829916,0.286996667271808,0.560769176907575,0.180081069677076,0.270278295339124,0.0271495864367934,0.00890525254343943,0.365803108896448,NA,0.157018925544937,NA,NA,0.973062587046128,0.000261036722879693,NA,NA,NA,0.437062091147737,0.453951422277231
0.273603533589664,0.00137139205700354,0.0577769032399065,0.209034926339595,NA,0,NA,0.435075222121387,0.0983911941955129,0.00144909257317716,0.286877512312731,0.556650515660055,0.166811052529588,0.268374237317654,0.0271865606399313,0.009221981761804,0.373883276275172,NA,0.144548818747936,NA,NA,0.966790902718901,0.000239200995804545,NA,NA,NA,0.434713301867072,0.451086923839904
0.0917544372670549,0.842961710399352,0.405514637021388,0.771097247601499,NA,0.50514274276196,0.435075222121387,NA,0.95405313992762,0.72729286901515,0.870703685256935,0.706743635179768,0.0863383132889974,0.712517992719824,0.730802540022962,0.966601537022766,0.650966743139861,NA,0.075095345951437,NA,NA,0.775286331162754,0.345814311493359,NA,NA,NA,0.754904573588059,0.738375144475941
0.498357250621118,0.267514148473661,0.13645990976979,0.868934019250763,NA,0.0968514183290121,0.0983911941955129,0.95405313992762,NA,0.0010772607978351,0.248437568108928,0.105996467558663,0.444265502200067,0.586866008201138,0.347251642105707,0.000799856830730583,0.00585547218141191,NA,0.557363895268037,NA,NA,0.68640059413969,0.00292619938674932,NA,NA,NA,0.812931126572958,0.738745251879416
0.16820869460884,0.0454960655634709,0.0080146411518256,0.164597544809769,NA,0.00128052958829916,0.00144909257317716,0.72729286901515,0.0010772607978351,NA,0.134659880866693,0.230739468497146,0.236818262186243,0.517021308147722,0.0954660520561177,6.55170628860446e-09,0.00586246227981579,NA,0.296860752357697,NA,NA,0.388217051104091,0.000132301811014424,NA,NA,NA,0.71315835651069,0.653431432798348
